timestamp;cpu_pct;mem_pct;threads;gpu_util_pct;vram_used_mib
2026-09-11T17:24:09.219800272;0.2;0.6;17;0;2327
2026-09-11T17:24:10.606625266;0.2;0.6;17;0;2327
2026-09-11T17:24:11.744550294;0.2;0.6;17;0;2327
2026-09-11T17:24:12.854149055;0.2;0.6;17;0;2327
2026-09-11T17:24:13.937357922;0.2;0.6;17;0;2327
2026-09-11T17:24:15.86478474;0.2;0.6;17;0;2327
2026-09-11T17:24:16.173168653;0.2;0.5;17;0;0
2026-09-11T17:24:19.735358528;0.2;0.5;17;0;0
2026-09-11T17:24:25.768229526;0.2;0.5;17;0;0
2026-09-11T17:24:28.243158753;0.2;0.5;17;0;0
2026-09-11T17:24:30.272276433;0.2;0.5;17;0;0
2026-09-11T17:24:32.414730466;0.2;0.5;17;0;0
2026-09-11T17:24:35.19297703;0.2;0.5;17;0;0
2026-09-11T17:24:37.116310203;0.2;0.5;17;0;0
2026-09-11T17:24:39.202271830;0.2;0.5;17;0;0
2026-09-11T17:24:41.263308716;0.2;0.5;17;0;0
2026-09-11T17:24:43.218512763;0.2;0.5;17;0;0
2026-09-11T17:24:45.206517855;0.2;0.5;17;0;0
2026-09-11T17:24:47.386869648;0.2;0.5;17;0;0
2026-09-11T17:24:49.341851184;0.2;0.5;17;0;0
2026-09-11T17:24:51.291999332;0.2;0.5;17;0;0
2026-09-11T17:24:53.254568417;0.2;0.5;17;0;0
2026-09-11T17:24:55.273948160;0.2;0.5;17;0;0
2026-09-11T17:24:57.348845596;0.2;0.5;17;0;0
2026-09-11T17:24:59.348333608;0.2;0.5;17;0;0
2026-09-11T17:25:01.341637272;0.2;0.5;17;0;0
2026-09-11T17:25:03.340926762;0.2;0.5;17;0;0
2026-09-11T17:25:05.282360471;0.2;0.5;17;0;0
2026-09-11T17:25:07.252689074;0.2;0.5;17;0;0
2026-09-11T17:25:09.229414353;0.2;0.5;17;0;0
2026-09-11T17:25:11.188227224;0.2;0.5;17;0;0
2026-09-11T17:25:13.148216769;0.2;0.5;17;0;0
2026-09-11T17:25:15.435624128;0.2;0.5;17;1;69
2026-09-11T17:25:16.560632855;0.2;0.6;17;0;0
2026-09-11T17:25:18.335789572;0.2;0.6;17;0;69
2026-09-11T17:25:19.419475005;0.2;0.6;17;0;69
2026-09-11T17:25:20.515194683;0.2;0.6;17;0;69
2026-09-11T17:25:21.824123739;0.2;0.6;17;0;69
2026-09-11T17:25:23.228925729;0.2;0.6;17;0;69
2026-09-11T17:25:24.503766543;0.2;0.6;17;0;69
2026-09-11T17:25:25.991190403;0.2;0.6;17;0;69
2026-09-11T17:25:27.147755104;0.2;0.6;17;0;69
2026-09-11T17:25:28.867755773;0.2;0.6;17;0;69
2026-09-11T17:25:30.372343064;0.2;0.6;17;0;69
